Bug ID,Remarks,Status,Review comments ,Title ,Module,Platform ,Priority ,Bug Type,Test Type,Short Description ,Test Steps,Expected Result,Actual Result,Screenshot,Reported By,Reviewed By,Date ,,,,,,,,,,,,,,,,
Px - 10,,Re-open,"Number list, Bullet list,Block quote are not working, h2,h3",Description editor options are not working in Add Product form,Product / Add Product / Description Field,Desktop ,Medium,Bug Frontend,Functional ,"Description editor options like numbered list, bullet list, blockquote, and code are not working when clicked.","1. Login to Proxema panel.
2. Go to Product module.
3. Click on ÒAdd ProductÓ.
4. Go to Description field.
5. Click on options like Paragraph, Numbered List, Bullet List, Blockquote, and Code.
6. Observe the behavior.
",Selected option should apply formatting in the description field.,Clicking on options does not perform any action.,https://prnt.sc/WRiHpvREJl-n ,Arvind,Rakshitha,22/04/2026,,,,,,,,,,,,,,,,
Px - 17,,Re-open,"After retesting, the free product is not listed immediately in the product list. Even after refresh, it does not appear instantly and is visible only after some time. Issue is partially fixed, but delay still exists.",Published free product not visible in panel product list,Product / Add Product / Product List,Desktop ,High,Bug Backend ,Functional ,"When a product is created with the ÒFree ProductÓ option and published, it is successfully displayed on the website but not shown in the product list in the Proxema panel. This creates inconsistency between panel and website data.","1. Login to Proxema panel for Dr. Ala website.
2. Navigate to Product module.
3. Click on ÒAdd ProductÓ to open the form.
4. Enter all required product details.
5. In the Price section, select ÒFree ProductÓ.
6. Click on ÒPublishÓ.
7. After publishing, you will be redirected to the product list page.
8. Search for the newly created product (e.g., ÒAnti Aging CreamÓ) in the panel.
9. Open the Dr. Ala website and check the same product.
","The published product should be visible in both the Proxema panel product list and the website, maintaining data consistency.","The product is successfully published and visible on the website, but it is not displayed in the product list in the Proxema panel.",[ Screen recording is available. Please reach out.],Arvind,,22/04/2026,,,,,,,,,,,,,,,,
Px - 36,,Open,Remove the username on placeholder,Remove the ÔUsernameÕ placeholder from the search bar.,Customer module > Search bar,Desktop ,Low,Bug Backend ,Functional ,"The search does not return results for usernames like Ô@priyaÕ, but works correctly when searching by name.","1. Log on to proxema panel.
2. Go to customer module.
3. Search with User name e.g. @priya
4. Observe the result return.
","Searching by username (e.g., @priya) should return relevant results.","No results are shown for username search, but results appear when searching by name.",https://prnt.sc/GLyZtsZVkOl0,Srujana,,23/04/2026,,,,,,,,,,,,,,,,
Px - 37,,Open,Make placeholder smaller,The letter ÔcÕ in the search placeholder is partially visible,Customer module > Search bar,Desktop ,Medium,Bug Frontend,Ui Testing,"The placeholder text in the search bar is cut off, with the letter ÔcÕ appearing half visible.","1. Log on to proxema panel.
2. Go to customer module.
3. Observe the search bar, the letter C displaying partially.

",The search placeholder text should be fully visible without any partial letters.,"The placeholder text is partially cut off, and the last character (ÒcÓ).",https://prnt.sc/NjUrwl4O7j6L,Srujana,,23/04/2026,,,,,,,,,,,,,,,,
Px - 38,,Open,,Track Stock option is not saved after publishing product,Product / Add Product / Edit Product,Desktop ,High,Bug Logic,Functional ,"Track Stock option is not retained after publishing, even though the entered quantity is saved correctly.

--------------------

Similar is observed for advance prodcut as well","1. Login to Proxema panel (Todoo) in Dev environment.
2. Go to Product module.
3. Click on ÒAdd ProductÓ.
4. Fill required product details.
5. In Stock section, select ÒTrack StockÓ.
6. Enter quantity (e.g., 20).
7. Publish the product.
8. Open the same product in Edit Product.
","Track Stock should remain enabled, and quantity should be visible.","Track Stock is unselected, but the quantity is retained in the backend and appears only when Track Stock is enabled again.",,Arvind,,23/04/2026,,,,,,,,,,,,,,,,
Px - 38-1,,Open,,Manage Stock option not retained after updating via Quick Edit,Product / Quick Edit / Edit Product,Desktop ,High,Bug Logic,Functional ,"After enabling Manage Stock and saving changes via Quick Edit, the option is not retained in the Edit Product page, although the quantity is saved correctly. This is similar to the issue observed in the Add Product (Publish) flow.

Note:
Similar issue already reported for ÒTrack Stock option is not retained after publishing product [Px - 38].Ó  This issue occurs specifically in the Quick Edit flow.
","1. Login to Proxema panel (Dr. Ala site).
2. Go to Product module.
3. Click on Quick Edit for any product.
4. Enable ÒManage StockÓ.
5. Enter quantity (e.g., 55).
6. Click on ÒSave ChangesÓ.
7. Open the same product in Edit Product page.
","Manage Stock should remain enabled, and quantity should be visible.","Manage Stock appears disabled, but when enabled again, the previously entered quantity is shown.",,Arvind,,23/04/2026,,,,,,,,,,,,,,,,
Px - 39,,Open,,The ÔResetÕ button under Customize Columns is non-functional,Customize Columns / Reset,Desktop ,Low,Bug Backend ,Functional ,The ÔResetÕ button in the Customize Columns section does not respond when clicked.,"1. Login to Proxema panel (Dr.ala).
2. Click on Customer module.
3. Click on Columns.
4. Click on Reset and observe.",Clicking the ÒResetÓ button should restore.,Clicking the ÒResetÓ button does not trigger any action.,https://prnt.sc/MNkmY44Yl9Om,Srujana,,24/04/2026,,,,,,,,,,,,,,,,
Px - 40,,Open,,"In Edit Customer, when billing and shipping addresses are left empty and the Save button is clicked, a technical error message is displayed:
ÒWooCommerce PUT customer/30 failed: 400Ó",Customer / Edit ,Desktop ,Medium,Bug Backend ,Functional ,ÒTechnical error message (ÔWooCommerce PUT customer/30 failed: 400Õ) is displayed to the user in Edit Customer when saving without required address fields; this should be removed,"1. Log on to Proxema panel.
2. Click on customer module.
3. Click on Edit customer.
4. Without filling billing and Shipping address click on save.
5. Observe the technical error message.",Technical/backend error messages should not be visible to the user.,"Along with the validation error, a raw technical error message (ÒWooCommerce PUT customer/30 failed: 400Ó) is displayed.",https://prnt.sc/3CI9tK13Pzj6 ,Srujana,,24/04/2026,,,,,,,,,,,,,,,,
Px - 41,,Open,,Advanced section data not retained after publishing product,Add Product / Edit Product / Advanced Section,Desktop ,High,Bug Backend ,Functional ,Data entered in Advanced section is not retained after publishing the product.,"1. Login to Proxema panel (Todoo).
2. Go to Product module.
3. Click on ÒAdd ProductÓ.
4. Open Advanced section.
5. Enter brand name and product tags in Basic Info.
6. Fill details in Pricing tab.
7. In Inventory & Shipping, enable ÒLimit per purchase to 1Ó.
8. Enter weight and dimensions in Shipping section.
9. Publish the product.
10. Open the same product in Edit Product.
11. Go to Advanced section.
","All entered data (brand, tags, stock, weight, limit per purchase, and shipping details) should be displayed correctly in Edit Product.",Brand name and product tags are not shown. Preview section does not display stock and weight. ÒLimit per purchase to 1Ó is not selected. Shipping details (weight and dimensions) are not displayed.,"Add prodcut :


https://prnt.sc/sO3T7ww7LvjB 

https://prnt.sc/phG-7158lAV7 






Edit prodcut :

https://prnt.sc/Jt6RWE7M1Lyx 

https://prnt.sc/yC8PiaOAaCso ",Arvind,,24/04/2026,,,,,,,,,,,,,,,,
Px - 42,,Open,,Product status options are not available in Advanced section,Product / Add Product / Advanced Section,Desktop ,Medium,Enhancement ,Functional ,Product status options are not shown when Advanced product option is selected.,"1. Login to Proxema panel (Todoo).
2. Go to Product module.
3. Click on ÒAdd ProductÓ.
4. Select Advanced option.
5. Observe product status options.
","Product status options (Publish, Draft, Private, Pending) should be visible.",Product status options are not available in Advanced section.,https://prnt.sc/BEsaVOm1sV5x ,Arvind,,24/04/2026,,,,,,,,,,,,,,,,
Px - 42-1,,Open,,Product status cannot be updated from Advanced section in Edit Product,Product / Edit Product / Advanced Section,Desktop ,Medium,Enhancement ,Functional ,Product status cannot be changed directly from Advanced section in Edit Product.,"1. Login to Proxema panel (Todoo).
2. Go to Product module.
3. Click on ÒAdd ProductÓ and select Advanced option.
4. Fill details and publish product.
5. Open the same product in Edit Product.
6. Go to Advanced section.
7. Try to change product status.
",Product status should be editable directly in Advanced section.,User must switch to Basic section to update product status.,,Arvind,,24/04/2026,,,,,,,,,,,,,,,,
Px - 43,,Open,,Add asterisk (*) to indicate required fields in Advanced Basic Info section,Add Product / Advanced / Basic Info,Desktop ,Medium,Enhancement ,Ui Testing,"Required fields are not clearly marked, making it difficult for users to identify mandatory inputs.","1. Login to Proxema panel (Todoo).
2. Go to Product module.
3. Click on ÒAdd ProductÓ.
4. Select Advanced option.
5. In Basic Info section, observe required fields.
6. Click on ÒNext StepÓ without filling fields.
",Required fields should be marked with an asterisk (*) for better clarity.,"Required fields are not marked, and user only sees a message ÒPlease complete the required fields on this tab before continuing.Ó after clicking Next Step.",https://prnt.sc/xqMn1nBoG280 ,Arvind,,24/04/2026,,,,,,,,,,,,,,,,
Px - 47,,Open,,"In the Order page, the Activity/Order history section is empty even after the order is completed.

NOTE: Same issue is observed in Customer details page > History",Order details page > History page,Desktop ,High,Bug Backend ,Functional ,Order Activity/History is not capturing or displaying even after order completion.,"1. Log on to proxema.
2. Go to orders > click on any order id.
3. Under actions > click on order details page.
4. Right side above > click on History.
5. Observe the page.","Once an order is taken any actions, the Activity/Order history should display relevant updates in history page.",The Activity/Order history section remains empty after order completion.,https://prnt.sc/h1LEKVfZqhNc,Srujana,,24/04/2026,,,,,,,,,,,,,,,,
Px - 49,,Open,,Price and quantity fields accept negative and zero values in Quick Edit,Product / Quick Edit,Desktop ,Medium,Enhancement ,Functional ,Price and stock quantity fields allow invalid values like negative numbers and zero as the initial value.,"1. Login to Proxema panel.
2. Go to Product module.
3. Click on Quick Edit for any product.
4. Enter negative values in Regular Price and Offer Price.
5. Enter negative value or 0 in Stock Quantity field.
6. Save the changes.
",System should restrict negative and invalid values and should validate input properly.,System should restrict negative and invalid values and should validate input properly.,"Negative value :

https://prnt.sc/vVw5RSyXIZu- 


Zero value : 

https://prnt.sc/xOzHc-QuOG8c ",Arvind,,24/04/2026,,,,,,,,,,,,,,,,
Px - 50,,Open,,"On the website, the Delete action in the Customer module shows a WooCommerce/browser alert instead of a custom confirmation popup.",Customer module > Delete button,Desktop ,Medium,Bug Backend ,Functional ,Delete action redirects to a WooCommerce link instead of triggering a confirmation popup.,"1. Log on to proxema panel.
2. Go to customer module.
3. Click on Delete button.
4. Observe the woocommerce link.","Clicking the Delete button should display a confirmation popup (e.g., ÒAre you sure you want to delete?Ó","Instead of a popup, the action redirects to a WooCommerce URL/page.",https://prnt.sc/ojMngS5dClhO,Srujana,,24/04/2026,,,,,,,,,,,,,,,,
Px - 52,,Open,,Add validation to restrict zero as initial value in price and quantity fields,Product / Add Product (Basic & Advanced),Desktop ,Medium,Enhancement ,Functional ,Price and quantity fields allow 0 as the initial value. System should restrict this and enforce valid input.,"1. Login to Proxema panel.
2. Go to Product module.
3. Click on ÒAdd ProductÓ.
4. Select Basic product and enable Track Stock.
5. Enter 0 in Quantity field.
6. Select Advanced product.
7. Enter 0 in Regular Price and Offer Price.
8. Enable Track Stock and enter 0 in Quantity.
",System should restrict entering 0 as initial value and show validation message.,System allows 0 as initial value in price and quantity fields without validation.,"Basic :

https://prnt.sc/7IBp49vDdEAz 

advance : 

https://prnt.sc/t6a3API8Iftz 

https://prnt.sc/CA5HLE9NQacl ",Arvind,,24/04/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
